,calories,parsed_ingredients
295,321.0,"[882, 854, 364, 276, 274, 268, 93, 83, 41, 23, 18, 16, 0]"
296,24.0,"[882, 274, 41, 40, 37, 16, 0, 0]"
297,785.0,"[882, 720, 274, 235, 218, 100, 72, 60, 54, 37, 27]"
298,708.0,"[882, 720, 263, 218, 137, 131, 83, 72]"
299,688.0,"[882, 381, 333, 269, 265, 252, 242, 48, 27, 16, 3, 0]"
300,703.0,"[882, 494, 405, 367, 364, 242, 218, 100, 75, 72, 22, 19]"
301,596.0,"[882, 692, 333, 282, 274, 261, 212, 17]"
302,316.0,"[884, 882, 381, 304, 149, 87, 80, 67, 0]"
303,564.0,"[882, 854, 486, 342, 335, 250, 242, 212, 147, 112, 40, 40, 38, 20, 16]"
304,356.0,"[720, 100, 97, 97, 48, 40, 27, 0]"
305,645.0,"[882, 405, 381, 263, 111, 81, 80, 67, 1, 0]"
306,799.0,"[882, 274, 141, 83, 40, 37, 0]"
307,334.0,"[882, 352, 265, 43, 40, 40, 39, 27, 22, 0, 0]"
308,381.0,"[242, 123, 115, 111, 61, 18, 17]"
309,170.0,"[315, 175, 75, 48]"
310,497.0,"[882, 364, 208, 43, 30, 0]"
311,768.0,"[692, 411, 364, 282, 50, 43, 23, 0]"
312,1040.0,"[882, 164, 93, 40, 18]"
313,994.0,"[882, 405, 351, 315, 282, 274, 212, 137, 60, 40, 27, 0]"
314,318.0,"[274, 0]"
315,210.0,"[405, 395, 284, 279, 60, 54, 14, 1]"
316,1139.0,"[882, 562, 508, 411, 345, 274, 87, 72, 48, 48, 46, 40, 32, 23, 21]"
317,234.0,"[882, 315, 27, 25, 17, 0]"
318,793.0,"[882, 692, 411, 380, 315, 304, 40, 27, 25, 21, 13, 0]"
319,498.0,"[902, 265, 212, 196, 180, 78, 43, 40]"
320,452.0,"[882, 720, 405, 315, 251, 237, 204, 93, 28, 21, 0]"
321,202.0,"[882, 378, 227, 66, 18]"
322,222.0,"[902, 508, 405, 375, 299, 80, 40, 19, 0]"
323,324.0,"[405, 378, 137, 48, 0]"
324,266.0,"[902, 884, 364, 259, 251, 149, 131, 116, 88, 75, 72, 29, 21, 0, 0]"
325,584.0,"[882, 720, 378, 364, 242, 40, 36, 27, 19, 16, 0]"
326,165.0,"[882, 405, 335, 274, 196, 90, 74, 48, 40, 27, 21, 0]"
327,139.0,"[902, 486, 97, 82, 80, 72, 46, 41, 21]"
328,208.0,"[882, 573, 405, 378, 295, 208, 152, 80, 46]"
329,759.0,"[884, 395, 364, 137, 80, 60, 40, 0]"
330,158.0,"[882, 654, 575, 251, 180, 60, 18, 0]"
331,500.0,"[562, 364, 322, 257, 219, 97, 61, 21, 0, 0]"
332,431.0,"[882, 656, 364, 274, 247, 178, 23, 22]"
333,627.0,"[882, 357, 322, 318, 304, 254, 241, 203, 80, 67, 57, 22, 15]"
334,313.0,"[882, 508, 364, 354, 351, 337, 333, 242, 149, 75, 61, 40, 27, 23, 0]"
335,232.0,"[281, 231, 92, 57, 52, 43, 21]"
336,218.0,"[405, 342, 242, 93, 57, 43]"
337,596.0,"[411, 405, 387, 201, 83, 52, 43, 32]"
338,301.0,"[405, 387, 288, 216, 57, 52, 50, 47, 46, 29, 0]"
339,146.0,"[387, 362, 342, 288, 222, 174, 97, 43, 21]"
340,114.0,"[486, 347, 304, 88, 43, 21, 17]"
341,119.0,"[213, 91]"
342,229.0,"[541, 405, 367, 364, 288, 97, 42, 0]"
343,1115.0,"[351, 282, 150, 60, 27, 0]"
344,246.0,"[405, 364, 21, 0, 0]"
345,137.0,"[882, 405, 356, 274, 100, 93, 80, 67, 23, 18, 16, 16, 13]"
346,145.0,"[884, 691, 405, 180, 133, 124, 0]"
347,99.0,"[562, 305, 242, 83, 72, 27, 19, 0]"
348,163.0,"[882, 471, 274, 261, 93, 31, 21, 0]"
349,61.0,"[575, 97, 35]"
350,645.0,"[882, 573, 405, 263, 97, 67]"
351,1000.0,"[889, 882, 395, 274, 217, 111, 97, 80, 61, 60]"
352,645.0,"[720, 405, 387, 364, 162, 97, 61, 0]"
353,285.0,"[27, 23, 0]"
354,1272.0,"[889, 882, 720, 494, 411, 364, 276, 72, 62, 60, 32, 21]"
355,71.0,"[364, 274, 265, 237, 198, 112, 40, 23, 0, 0]"
356,128.0,"[614, 575, 405, 364, 360, 357, 299, 288, 263, 247, 216, 145, 16, 0]"
357,162.0,"[405, 353, 231, 186, 89, 21]"
358,123.0,"[884, 654, 508, 500, 361, 72, 60, 32, 25, 21, 21, 0]"
359,369.0,"[575, 548, 367, 364, 357, 233, 180, 97, 16, 0]"
360,562.0,"[720, 405, 393, 381, 370, 288, 257, 228, 216, 61, 0]"
361,10.0,"[354, 97, 93, 91, 39, 0]"
362,454.0,"[882, 354, 353, 251, 115, 72, 48, 46, 37, 21, 16, 0]"
363,280.0,"[882, 373, 335, 282, 274, 265, 242, 147, 40, 40, 27, 23, 18, 13]"
364,1035.0,"[882, 486, 373, 364, 282, 274, 265, 242, 212, 147, 97, 40, 23, 16, 16, 0]"
365,302.0,"[902, 334, 274, 251, 147, 40, 18, 0]"
366,292.0,"[720, 405, 395, 370, 364, 336, 335, 319, 288, 281, 261, 242, 97, 57, 18, 0, 0]"
367,522.0,"[882, 573, 405, 357, 331, 251, 216, 116, 100, 80, 67, 25, 23]"
368,716.0,"[720, 364, 276, 261, 242, 236, 103, 93, 89, 82, 74, 72, 71, 61, 57, 40, 36, 31, 16]"
369,245.0,"[882, 265, 91, 82, 0]"
370,659.0,"[493, 405, 364, 288, 278, 250, 242, 228, 63, 57, 50, 27, 0, 0]"
371,175.0,"[720, 405, 69, 21, 0]"
372,619.0,"[882, 494, 486, 433, 345, 274]"
373,493.0,"[902, 115, 100, 93, 91, 45]"
374,126.0,"[884, 857, 405, 381, 274, 147, 117, 0]"
375,457.0,"[882, 500, 274, 274, 261, 148, 147, 23, 18, 0, 0]"
376,2505.0,"[882, 567, 362, 351, 276, 81, 40, 21, 20, 0, 0]"
377,189.0,"[882, 274, 233, 81, 40, 21, 20, 18, 16, 0, 0]"
378,169.0,"[882, 857, 654, 411, 380, 311, 274, 270, 182, 61, 42, 40, 34, 32, 30, 29, 23]"
379,390.0,"[405, 242, 62, 43, 42, 32, 21, 0]"
380,41.0,"[48, 37]"
381,187.0,"[654, 405, 242, 97, 43, 21]"
382,131.0,"[405, 270, 43, 21]"
383,178.0,"[884, 335, 261, 80, 61, 57, 43]"
384,656.0,"[720, 488, 405, 352, 342, 322, 257, 242, 236, 97, 66, 43, 21, 0]"
385,212.0,"[405, 263, 92, 30, 21]"
386,122.0,"[320, 110, 43, 27]"
387,132.0,"[295, 270, 43, 21]"
